      Plot replica #,up1 a,up1 b,up1 c,dp1 a,dp1 b,dp1 c,sp1 a,sp1 b,sp1 c,um1 a,um1 b,um1 c,dm1 a,dm1 b,dm1 c,sm1 a,sm1 b,sm1 c,                GT a,                GT b,                GT c,G2 a,G2 b,G2 c,
13,-0.949663,1.504037,-0.487674,6.871011,-9.323177,4.872347,-1.984215,7.662058,-0.295579,-7.241019,10.520820,6.646789,1.024825,-10.774709,6.793312,10.929723,-0.929716,-23.822670,0.653441,-0.712492,1.868266,0.550305,-0.458869,-2.801544,
14,-0.123076,-0.815509,3.289689,2.437538,-4.670516,10.845890,-0.560426,2.305615,6.313073,-2.077085,6.425875,0.148036,0.377965,4.118651,-8.236230,9.144341,-2.705010,-17.091629,1.655317,-2.651385,2.858563,0.673982,0.087195,-5.032862,
15,1.200884,-8.230924,5.572843,6.233598,-6.981721,1.311667,3.600977,5.927549,-10.895169,-0.953835,-0.952440,7.616635,-9.692715,10.081851,7.629563,6.521772,2.410190,-16.539418,3.090440,-4.033308,-4.668344,0.951059,0.357894,-3.933138,
16,1.181757,1.413770,-7.221597,7.882453,-10.289969,-0.014329,-3.901453,8.907108,-3.466268,-1.542453,0.161093,6.636162,-0.297331,-10.727013,10.524897,11.221452,-3.604956,-20.569710,-0.067511,-0.062735,0.906741,0.604073,-1.105522,-0.461527,
17,1.938760,-3.973331,-3.021472,0.904476,-1.175845,3.880959,1.198242,2.697805,-6.547533,0.659360,-4.955051,7.512428,-4.729821,2.024763,5.572558,13.399430,-9.487646,-18.987459,1.252505,-0.125087,-7.711966,1.532483,-1.209464,-2.054215,
18,-2.127249,1.156061,0.096294,5.619854,-10.553111,6.349988,1.876552,1.201851,-4.294253,-1.618257,1.047033,6.818638,1.014205,-4.761875,0.986453,12.013159,-8.202662,-16.165855,-1.361792,0.714320,2.244768,1.133727,-0.193141,-3.039470,
19,-5.638631,3.176013,3.496720,7.931640,-9.013618,-2.041404,5.661416,-2.971865,-8.879604,-2.867287,8.405019,0.170592,0.963470,-7.863748,3.940401,10.208992,0.377385,-23.150810,-1.629931,1.222554,1.885967,0.888390,-0.206754,-1.697636,
20,0.408071,-0.463930,-6.102962,8.560326,-10.839741,-2.490693,1.189102,4.873943,-8.898520,-1.123028,2.522820,2.850837,-6.239420,-2.143587,14.147143,10.765983,0.073584,-23.289438,-0.490755,-1.341054,4.346359,-0.550121,0.555563,0.862557,
21,4.456608,-5.769027,-3.429607,6.112662,-9.545519,4.826884,-0.359487,6.108359,-3.736517,-4.822577,6.205752,6.921822,-2.370813,13.116161,-11.994653,8.535332,7.193764,-25.851875,-0.474455,0.176389,4.377029,-0.569280,1.283451,-1.931656,
22,-2.471915,-0.062517,2.433548,3.817697,-8.748960,8.427739,4.628029,13.736230,-23.707018,-1.901112,-0.649143,8.725764,-5.236975,1.305028,7.072622,6.097888,3.938264,-18.149716,0.904493,-0.046031,-4.204059,1.485235,-1.456517,-2.442150,
23,0.991942,1.218750,-5.943260,1.416444,-2.898395,5.919444,9.144915,-12.239477,-3.402819,-7.985977,13.336145,4.439284,2.320300,-6.239568,-0.552343,7.850312,-2.447087,-15.272744,0.708615,0.610943,-3.873223,0.726091,-0.513575,-1.873416,
24,0.249919,0.629069,3.885727,6.338450,-11.619271,14.769906,-4.280736,8.606345,8.264042,-4.801682,7.643475,4.586849,5.719151,-15.495238,2.878347,5.045669,-0.385081,-11.257277,-2.714685,3.404431,10.609756,1.251658,-0.636164,-6.860976,
25,0.298879,-6.207283,-1.675001,2.383443,-2.701218,-0.769371,-1.378674,8.380144,-9.613062,-3.454718,4.219584,5.492112,-0.822687,-3.554352,2.817223,9.665512,-4.432063,-15.707699,-2.738869,0.311659,6.569353,0.187135,1.555698,-0.679512,
26,-1.833323,3.093426,-2.562915,5.212114,-5.179146,0.935861,4.682950,-11.424505,6.194105,-2.974371,-0.433856,10.946082,4.975434,-5.414797,-7.608240,9.141196,-1.810799,-17.742864,1.800987,-2.696023,-1.670099,0.482999,0.323871,-2.489977,
27,-0.845497,-0.633671,-2.896828,6.855849,-7.072254,-2.812000,1.317424,1.398055,-5.374609,-5.526317,6.938995,7.832547,-6.315737,9.491041,-0.403785,9.063776,-0.476154,-19.229931,1.137610,-0.113056,-6.793990,0.974464,-1.044005,-0.496251,
28,-3.599739,6.112516,-0.004667,5.129461,-6.869300,6.041604,10.958608,-15.218562,1.123059,-8.193616,9.302312,10.197870,-4.582428,13.174747,-7.903268,11.423825,-4.671037,-19.199302,0.465869,-0.275175,0.618492,0.915212,-0.837812,-3.381796,
29,-3.710902,1.251231,6.710170,2.267554,-7.480168,13.195161,-3.652995,0.092819,12.212999,-6.779734,13.433701,2.242121,-9.241703,13.324620,1.094073,5.659956,7.693199,-22.587274,-3.663290,1.657998,9.767842,2.502575,-0.447599,-7.268461,
30,-4.284834,3.458612,1.753932,2.944966,-0.922552,0.736762,-1.684660,-7.524752,13.362878,-4.285501,4.926872,6.589174,-1.043467,-3.593573,3.599548,10.696095,-4.986267,-18.638427,0.552264,-2.732784,0.267197,1.451547,0.171297,-4.061938,
31,-1.692798,-0.012768,-0.826454,6.507461,-14.289618,7.209715,-5.015513,6.409191,2.237776,-5.209682,7.637043,4.899143,-2.890818,-3.741895,7.324033,8.634243,-2.577266,-15.538660,-2.581881,0.448498,6.769694,1.057602,0.656662,-3.138674,
32,1.657301,-1.472847,-3.025795,3.979690,-6.209414,6.116227,-3.821754,8.165917,1.589074,-4.332124,8.172244,4.536974,2.822602,-2.808300,-3.737519,10.630271,0.669882,-22.605240,-1.530922,0.122945,8.649937,-0.082289,0.686081,-2.438711,
33,4.899224,-3.775333,-12.625233,1.578253,-5.980819,4.309746,0.625985,6.787685,-11.689231,-3.287058,4.950303,5.708372,6.516096,-8.282615,-4.788604,11.972905,-6.320024,-18.161470,-0.419596,-1.435323,3.665283,-0.763490,0.644873,1.884715,
34,2.565178,-3.035937,-8.724707,8.012098,-11.361658,-2.029690,6.986862,2.449392,-20.382332,-3.716494,3.484773,7.397328,0.914492,-9.348474,5.277512,8.340261,-4.142893,-13.185889,0.210152,0.054622,-1.082683,-1.084778,1.044744,2.203695,
35,-0.548018,0.167267,-7.886017,7.593605,-10.640195,-3.593272,1.782864,5.264994,-14.660719,-4.100039,7.043828,4.382044,-4.458934,-0.798053,7.599527,7.965378,-0.936185,-16.486912,-1.521670,1.976608,-1.933566,0.300761,-0.159726,1.608460,
36,1.635003,-1.445675,-9.658164,5.343048,-5.077122,-5.229149,2.071196,16.853982,-26.423492,-1.724961,-0.317951,8.737689,-4.190042,-8.730653,18.029689,5.440924,6.821513,-19.259434,-2.999751,4.521869,3.694359,-0.944303,-0.520021,4.081759,
37,-0.516532,0.442506,-3.543446,4.247849,-6.733230,3.385656,5.195372,-0.178032,-10.528788,0.367458,0.150079,3.002720,-2.746431,-8.508405,13.993127,7.709961,-1.278360,-15.589675,-1.177367,0.945321,2.848422,0.232807,-0.112800,-0.716274,
38,-0.961890,0.680370,-2.397094,3.278685,-1.540325,0.447208,10.437014,-14.087133,-4.438370,-2.442900,1.795048,6.076595,-4.274650,3.346497,2.294392,9.800094,-5.001943,-18.032367,-1.644852,-0.446816,9.481161,-0.440296,0.605513,-0.630802,
39,1.334638,-2.345150,-5.509692,6.050993,-8.595549,0.433282,2.259846,10.192850,-17.152003,1.037075,-2.431345,5.327736,0.187820,-0.791474,-1.165687,8.751370,1.917676,-20.344272,0.639699,0.462098,-4.040286,0.123301,-0.225077,0.365390,
40,-0.991457,-1.780664,1.244917,-1.546307,-3.519553,12.935799,8.470802,-1.963752,-14.677007,-6.423010,5.729968,11.182909,2.645093,-13.138621,8.075190,12.148495,-5.141225,-20.112263,-1.819615,1.073660,2.453253,1.423952,-0.276713,-3.418292,
41,1.237821,-1.880693,-12.766218,3.066096,-6.511834,-2.624408,10.208195,-1.328146,-26.246903,-4.946478,9.834286,4.324550,-4.304271,8.946655,-3.627304,11.769772,2.825313,-27.363943,-1.456571,2.118239,-5.379069,0.160319,0.037976,3.317384,
42,-1.554192,-0.830698,0.684563,5.881316,-13.991488,9.254733,0.422947,3.740462,-3.821325,-1.242988,1.259219,6.355284,-4.324520,0.920665,6.212960,10.033278,-3.766259,-16.371795,0.525020,-2.580532,0.033517,1.380795,0.150806,-3.728775,
43,0.947727,1.451708,-8.285439,7.101858,-9.680130,0.288093,5.952968,2.589506,-15.478738,-5.174595,6.334652,7.945569,-3.269752,9.277461,-5.878648,1.622822,10.235950,-15.241667,1.659771,-1.392988,-1.378311,-0.858484,0.266551,1.341259,
44,-1.060336,0.558275,-7.628389,5.386237,-10.330283,0.094039,3.024854,3.158459,-14.083358,-1.395247,2.078396,3.812847,-2.747183,-4.064616,8.190110,6.678564,0.082858,-14.980205,-2.261293,2.782027,-2.281020,0.964441,-0.432520,0.726140,
45,-2.952527,3.026135,-1.651637,5.105600,-4.405505,-0.554010,4.717780,-0.884907,-9.480778,-7.783248,7.091444,12.398498,-8.317401,-1.158183,14.882850,3.086998,4.523837,-13.567549,1.169311,-0.039030,-6.932458,1.400429,-1.530760,-1.337583,
46,-2.033767,-5.635348,2.268861,1.053395,5.999377,-8.302139,6.652206,-15.445320,2.952858,-2.673541,2.063310,7.712331,8.035325,-9.281822,-8.658185,12.618879,-5.245079,-20.725319,4.025360,-4.050447,-10.312630,-0.326881,0.646631,1.385588,
47,0.691574,1.629599,-9.660376,4.021314,-6.887944,1.236739,6.850387,-1.521807,-15.854467,-3.113926,3.265951,5.647495,0.639876,-6.821238,4.074547,10.311519,-10.982590,-10.398570,1.606036,-0.203801,-6.626783,-0.049747,-0.366724,1.524614,
48,0.035599,1.047759,-5.917258,2.344579,-1.473721,0.697339,7.993185,-5.285044,-9.919125,-4.327589,5.333941,8.123509,-8.365493,3.749763,12.104707,7.019754,0.553180,-14.622265,-3.711145,3.820455,7.825923,0.080605,-0.521512,0.241633,
49,-1.941657,-1.873478,-6.754170,2.669129,-7.682752,-0.628126,3.667494,2.399176,-19.555958,-9.454727,17.163844,4.132163,-3.152899,2.851174,0.078683,1.601447,5.266230,-10.083848,-4.095728,3.707989,0.085550,1.291460,0.126104,1.257630,
